Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;ICA Estación
01/09/2017;73;82;Buena / Ona;Buena / Ona
31/08/2017;75;78;Buena / Ona;Buena / Ona
30/08/2017;72;90;Buena / Ona;Buena / Ona
29/08/2017;77;99;Buena / Ona;Buena / Ona
28/08/2017;66;73;Buena / Ona;Buena / Ona
27/08/2017;71;91;Buena / Ona;Buena / Ona
26/08/2017;79;101;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
25/08/2017;66;75;Buena / Ona;Buena / Ona
24/08/2017;65;81;Buena / Ona;Buena / Ona
23/08/2017;64;85;Buena / Ona;Buena / Ona
22/08/2017;102;127;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
21/08/2017;101;124;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
20/08/2017;78;84;Buena / Ona;Buena / Ona
19/08/2017;74;78;Buena / Ona;Buena / Ona
18/08/2017;67;79;Buena / Ona;Buena / Ona
17/08/2017;77;90;Buena / Ona;Buena / Ona
16/08/2017;66;73;Buena / Ona;Buena / Ona
15/08/2017;63;103;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
14/08/2017;90;114;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
13/08/2017;74;82;Buena / Ona;Buena / Ona
12/08/2017;75;84;Buena / Ona;Buena / Ona
11/08/2017;74;81;Buena / Ona;Buena / Ona
10/08/2017;73;78;Buena / Ona;Buena / Ona
09/08/2017;72;80;Buena / Ona;Buena / Ona
08/08/2017;70;79;Buena / Ona;Buena / Ona
07/08/2017;78;87;Buena / Ona;Buena / Ona
06/08/2017;73;84;Buena / Ona;Buena / Ona
05/08/2017;60;69;Buena / Ona;Buena / Ona
04/08/2017;65;83;Buena / Ona;Buena / Ona
03/08/2017;80;97;Buena / Ona;Buena / Ona
02/08/2017;74;100;Buena / Ona;Buena / Ona
01/08/2017;62;65;Buena / Ona;Buena / Ona
31/07/2017;59;63;Buena / Ona;Buena / Ona
30/07/2017;65;75;Buena / Ona;Buena / Ona
29/07/2017;99;117;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
28/07/2017;57;67;Buena / Ona;Buena / Ona
27/07/2017;70;82;Buena / Ona;Buena / Ona
26/07/2017;77;89;Buena / Ona;Buena / Ona
25/07/2017;66;68;Buena / Ona;Buena / Ona
24/07/2017;50;56;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;64;82;Buena / Ona;Buena / Ona
22/07/2017;70;77;Buena / Ona;Buena / Ona
21/07/2017;56;69;Buena / Ona;Buena / Ona
20/07/2017;61;69;Buena / Ona;Buena / Ona
19/07/2017;72;84;Buena / Ona;Buena / Ona
18/07/2017;102;118;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
17/07/2017;113;123;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
16/07/2017;96;113;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
15/07/2017;70;72;Buena / Ona;Buena / Ona
14/07/2017;57;64;Buena / Ona;Buena / Ona
13/07/2017;61;68;Buena / Ona;Buena / Ona
12/07/2017;56;73;Buena / Ona;Buena / Ona
11/07/2017;60;79;Buena / Ona;Buena / Ona
10/07/2017;52;78;Buena / Ona;Buena / Ona
09/07/2017;84;96;Buena / Ona;Buena / Ona
08/07/2017;69;83;Buena / Ona;Buena / Ona
07/07/2017;74;91;Buena / Ona;Buena / Ona
06/07/2017;84;92;Buena / Ona;Buena / Ona
05/07/2017;95;112;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
04/07/2017;86;114;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
03/07/2017;51;62;Buena / Ona;Buena / Ona
02/07/2017;61;70;Buena / Ona;Buena / Ona
01/07/2017;66;73;Buena / Ona;Buena / Ona
30/06/2017;65;73;Buena / Ona;Buena / Ona
29/06/2017;63;69;Buena / Ona;Buena / Ona
28/06/2017;62;71;Buena / Ona;Buena / Ona
27/06/2017;58;61;Buena / Ona;Buena / Ona
26/06/2017;64;80;Buena / Ona;Buena / Ona
25/06/2017;65;71;Buena / Ona;Buena / Ona
24/06/2017;64;73;Buena / Ona;Buena / Ona
23/06/2017;65;81;Buena / Ona;Buena / Ona
22/06/2017;90;171;Muy mala / Oso txarra;Muy mala / Oso txarra
21/06/2017;146;173;Muy mala / Oso txarra;Muy mala / Oso txarra
20/06/2017;128;168;Muy mala / Oso txarra;Muy mala / Oso txarra
19/06/2017;121;140;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
18/06/2017;122;133;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
17/06/2017;104;121;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
16/06/2017;72;75;Buena / Ona;Buena / Ona
15/06/2017;67;78;Buena / Ona;Buena / Ona
14/06/2017;79;99;Buena / Ona;Buena / Ona
13/06/2017;72;92;Buena / Ona;Buena / Ona
12/06/2017;50;63;Buena / Ona;Buena / Ona
11/06/2017;80;102;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
10/06/2017;82;99;Buena / Ona;Buena / Ona
09/06/2017;72;97;Buena / Ona;Buena / Ona
08/06/2017;93;106;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
07/06/2017;82;99;Buena / Ona;Buena / Ona
06/06/2017;71;84;Buena / Ona;Buena / Ona
