Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
03/05/2017;2;15;34;Muy buena / Oso ona;19;47;68;Buena / Ona;67;92;966,3;379,5;10,9;1,12;Buena / Ona
02/05/2017;1;8;15;Muy buena / Oso ona;9;68;74;Buena / Ona;314;87;970,3;184,8;10,6;4,73;Buena / Ona
01/05/2017;0;9;25;Muy buena / Oso ona;9;78;92;Buena / Ona;301;62;969;281,3;9;5,09;Buena / Ona
30/04/2017;;;;Sin datos / Daturik gabe;4;91;95;Buena / Ona;265;68;956,7;63,8;9,2;9,74;Buena / Ona
29/04/2017;;;;Sin datos / Daturik gabe;6;83;86;Buena / Ona;195;53;958,4;404;12,9;10,76;Buena / Ona
28/04/2017;;;;Sin datos / Daturik gabe;21;69;83;Buena / Ona;80;70;968,3;333,7;6,9;3,5;Buena / Ona
27/04/2017;;;;Sin datos / Daturik gabe;9;82;95;Buena / Ona;21;71;968,8;285,9;5,1;4,2;Buena / Ona
26/04/2017;;;;Sin datos / Daturik gabe;8;77;91;Buena / Ona;26;84;964,8;82,5;4,8;6,31;Buena / Ona
25/04/2017;;;;Sin datos / Daturik gabe;10;75;86;Buena / Ona;351;85;960;39,9;9,7;3,83;Buena / Ona
24/04/2017;;;;Sin datos / Daturik gabe;17;79;100;Buena / Ona;61;47;964,1;367,8;14,5;1,63;Buena / Ona
23/04/2017;;;;Sin datos / Daturik gabe;14;102;130;Mejorable / Hobetzeko modukoa;100;35;968,2;435,3;16,2;2,55;Mejorable / Hobetzeko modukoa
22/04/2017;;;;Sin datos / Daturik gabe;7;109;123;Mejorable / Hobetzeko modukoa;187;30;970,7;429,3;16,6;2,61;Mejorable / Hobetzeko modukoa
21/04/2017;;;;Sin datos / Daturik gabe;13;97;107;Mejorable / Hobetzeko modukoa;157;36;973,6;435,7;14,3;5,02;Mejorable / Hobetzeko modukoa
20/04/2017;;;;Sin datos / Daturik gabe;13;81;95;Buena / Ona;93;52;974,9;439,8;8,7;4,51;Buena / Ona
19/04/2017;;;;Sin datos / Daturik gabe;11;85;93;Buena / Ona;70;60;974,1;428;8,6;6,12;Buena / Ona
18/04/2017;;;;Sin datos / Daturik gabe;12;79;88;Buena / Ona;60;86;972,1;243,1;10;3,48;Buena / Ona
17/04/2017;;;;Sin datos / Daturik gabe;6;74;79;Buena / Ona;83;86;970,8;422,1;10,6;2,54;Buena / Ona
16/04/2017;;;;Sin datos / Daturik gabe;5;73;78;Buena / Ona;111;86;974,1;327,3;10,2;3,77;Buena / Ona
15/04/2017;;;;Sin datos / Daturik gabe;7;75;91;Buena / Ona;353;93;973,7;142,8;10,1;2,81;Buena / Ona
14/04/2017;;;;Sin datos / Daturik gabe;8;81;94;Buena / Ona;354;94;970,5;46,9;9,6;1,91;Buena / Ona
13/04/2017;;;;Sin datos / Daturik gabe;10;87;95;Buena / Ona;54;65;968,8;390,7;11,9;1;Buena / Ona
12/04/2017;;;;Sin datos / Daturik gabe;8;84;93;Buena / Ona;29;66;971,1;564,9;12,4;3,35;Buena / Ona
11/04/2017;;;;Sin datos / Daturik gabe;6;85;98;Buena / Ona;;;975,2;;;;Buena / Ona
10/04/2017;;;;Sin datos / Daturik gabe;17;71;110;Mejorable / Hobetzeko modukoa;;;974,9;;;;Mejorable / Hobetzeko modukoa
09/04/2017;;;;Sin datos / Daturik gabe;16;96;124;Mejorable / Hobetzeko modukoa;;;971;;;;Mejorable / Hobetzeko modukoa
08/04/2017;;;;Sin datos / Daturik gabe;10;97;110;Mejorable / Hobetzeko modukoa;;;967,8;;;;Mejorable / Hobetzeko modukoa
07/04/2017;;;;Sin datos / Daturik gabe;10;79;85;Buena / Ona;;;970,5;;;;Buena / Ona
06/04/2017;;;;Sin datos / Daturik gabe;8;69;73;Buena / Ona;;;974,9;;;;Buena / Ona
05/04/2017;;;;Sin datos / Daturik gabe;6;70;80;Buena / Ona;;;976,3;;;;Buena / Ona
04/04/2017;;;;Sin datos / Daturik gabe;6;75;78;Buena / Ona;;;977;;;;Buena / Ona
03/04/2017;;;;Sin datos / Daturik gabe;8;79;90;Buena / Ona;;;974,4;;;;Buena / Ona
02/04/2017;;;;Sin datos / Daturik gabe;;84;89;Buena / Ona;;;973,6;;;;Buena / Ona
01/04/2017;;;;Sin datos / Daturik gabe;4;87;89;Buena / Ona;;;969,7;;;;Buena / Ona
31/03/2017;1;10;32;Muy buena / Oso ona;12;80;100;Buena / Ona;12;82;967,5;227,4;11,8;1,64;Buena / Ona
30/03/2017;0;8;12;Muy buena / Oso ona;8;92;101;Mejorable / Hobetzeko modukoa;213;47;969;201;18,7;8,56;Mejorable / Hobetzeko modukoa
29/03/2017;1;9;21;Muy buena / Oso ona;10;84;96;Buena / Ona;220;46;973,6;389,6;18;3,58;Buena / Ona
28/03/2017;1;7;15;Muy buena / Oso ona;8;82;;Sin datos / Daturik gabe;235;60;973,9;429,6;13,4;3,95;Muy buena / Oso ona
27/03/2017;0;6;20;Muy buena / Oso ona;7;89;98;Buena / Ona;195;63;965,4;300,8;12,5;6,74;Buena / Ona
26/03/2017;0;6;20;Muy buena / Oso ona;6;78;86;Buena / Ona;170;71;962,2;152,1;10,3;9,1;Buena / Ona
25/03/2017;0;7;23;Muy buena / Oso ona;7;79;83;Buena / Ona;273;97;960,8;24,2;5,5;7,2;Buena / Ona
24/03/2017;1;10;22;Muy buena / Oso ona;11;75;82;Buena / Ona;93;69;964,4;331,9;6,8;1;Buena / Ona
23/03/2017;0;5;18;Muy buena / Oso ona;5;81;88;Buena / Ona;224;62;958,2;402;5,6;7,16;Buena / Ona
22/03/2017;0;6;11;Muy buena / Oso ona;6;77;82;Buena / Ona;256;85;959,3;42;5,4;4,75;Buena / Ona
21/03/2017;0;12;28;Muy buena / Oso ona;12;76;86;Buena / Ona;300;94;967,1;38,4;7,3;4,47;Buena / Ona
20/03/2017;0;10;29;Muy buena / Oso ona;11;63;71;Buena / Ona;326;97;967,5;30,5;7,3;1,85;Buena / Ona
19/03/2017;1;9;26;Muy buena / Oso ona;10;64;72;Buena / Ona;30;96;970,8;197;7,5;1,78;Buena / Ona
18/03/2017;0;7;20;Muy buena / Oso ona;7;66;74;Buena / Ona;33;95;974,3;111,6;8;1,84;Buena / Ona
17/03/2017;0;10;22;Muy buena / Oso ona;11;69;86;Buena / Ona;332;92;973,4;78,7;9,1;3,61;Buena / Ona
