Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);Tº (ºC);V.vien (m/s);ICA Estación
10/01/2017;0,22;0,35;Muy buena / Oso ona;6;23;43;Muy buena / Oso ona;33;16;Muy buena / Oso ona;4;Muy buena / Oso ona;309;94;9,4;1,96;Muy buena / Oso ona
09/01/2017;0,46;0,59;Muy buena / Oso ona;42;51;69;Buena / Ona;115;25;Muy buena / Oso ona;10;Muy buena / Oso ona;136;72;9,1;0,76;Buena / Ona
08/01/2017;0,48;0,59;Muy buena / Oso ona;21;47;64;Buena / Ona;78;29;Buena / Ona;13;Muy buena / Oso ona;110;63;6;0,55;Buena / Ona
07/01/2017;0,42;0,5;Muy buena / Oso ona;33;49;75;Buena / Ona;98;30;Buena / Ona;12;Muy buena / Oso ona;136;69;4,6;0,86;Buena / Ona
06/01/2017;0,39;0,47;Muy buena / Oso ona;22;38;62;Buena / Ona;71;22;Muy buena / Oso ona;8;Muy buena / Oso ona;140;75;4,1;0,76;Buena / Ona
05/01/2017;0,41;0,47;Muy buena / Oso ona;35;47;90;Buena / Ona;100;27;Buena / Ona;9;Muy buena / Oso ona;121;75;5,4;0,96;Buena / Ona
04/01/2017;0,43;0,58;Muy buena / Oso ona;61;44;72;Buena / Ona;136;42;Buena / Ona;13;Muy buena / Oso ona;125;83;5,5;0,29;Buena / Ona
03/01/2017;0,48;0,59;Muy buena / Oso ona;59;46;71;Buena / Ona;136;43;Buena / Ona;11;Muy buena / Oso ona;147;77;6,5;0,5;Buena / Ona
02/01/2017;0,33;0,53;Muy buena / Oso ona;15;32;56;Buena / Ona;53;14;Muy buena / Oso ona;7;Muy buena / Oso ona;110;60;7,9;1,67;Buena / Ona
01/01/2017;0,27;0,34;Muy buena / Oso ona;10;28;43;Muy buena / Oso ona;43;22;Muy buena / Oso ona;8;Muy buena / Oso ona;124;65;5,8;1,59;Muy buena / Oso ona
