Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
22/04/2017;0,21;0,3;Muy buena / Oso ona;3;10;25;Muy buena / Oso ona;15;92;107;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;164;47;1013,2;48;17,3;0,91;Mejorable / Hobetzeko modukoa
21/04/2017;0,31;0,46;Muy buena / Oso ona;4;23;50;Muy buena / Oso ona;30;70;104;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;118;46;1016,6;45,9;15;1,64;Mejorable / Hobetzeko modukoa
20/04/2017;0,19;0,2;Muy buena / Oso ona;4;13;32;Muy buena / Oso ona;20;74;92;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;89;49;1018,6;40,7;12,1;1,39;Buena / Ona
19/04/2017;0,16;;Sin datos / Daturik gabe;4;7;23;Muy buena / Oso ona;12;86;93;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;87;51;1017,8;45,5;12,7;2,12;Buena / Ona
18/04/2017;0,31;0,66;Muy buena / Oso ona;5;17;50;Muy buena / Oso ona;25;60;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;74;70;1015,3;41,5;13,6;1,21;Muy buena / Oso ona
17/04/2017;0,28;0,51;Muy buena / Oso ona;3;12;27;Muy buena / Oso ona;17;57;77;Buena / Ona;18;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;55;71;1013,9;43,9;14;0,93;Buena / Ona
16/04/2017;0,2;0,3;Muy buena / Oso ona;2;9;18;Muy buena / Oso ona;13;58;72;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;82;70;1017,5;38,1;13,5;0,94;Buena / Ona
15/04/2017;0,23;0,35;Muy buena / Oso ona;2;10;30;Muy buena / Oso ona;14;66;84;Buena / Ona;16;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;338;75;1017;32,8;14,1;0,97;Buena / Ona
14/04/2017;0,24;0,35;Muy buena / Oso ona;2;9;25;Muy buena / Oso ona;12;74;89;Buena / Ona;16;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;354;80;1012,5;14,9;13,3;0,38;Buena / Ona
13/04/2017;0,3;0,48;Muy buena / Oso ona;4;15;39;Muy buena / Oso ona;21;67;93;Buena / Ona;17;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;31;76;1011,9;40,9;13,2;0,56;Buena / Ona
12/04/2017;0,25;0,41;Muy buena / Oso ona;6;16;43;Muy buena / Oso ona;25;62;89;Buena / Ona;21;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;52;74;1014,3;44,1;13,4;0,85;Buena / Ona
11/04/2017;0,17;0,19;Muy buena / Oso ona;2;8;25;Muy buena / Oso ona;11;79;96;Buena / Ona;22;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;345;75;1018,7;41,8;14;1,31;Buena / Ona
10/04/2017;0,17;0,22;Muy buena / Oso ona;2;7;18;Muy buena / Oso ona;11;87;100;Buena / Ona;26;Buena / Ona;24;Buena / Ona;3;Muy buena / Oso ona;327;85;1018,5;14,1;13,4;1,86;Buena / Ona
09/04/2017;0,36;0,54;Muy buena / Oso ona;3;19;46;Muy buena / Oso ona;23;67;90;Buena / Ona;27;Buena / Ona;24;Buena / Ona;3;Muy buena / Oso ona;5;74;1013,8;42,3;14,9;0,85;Buena / Ona
08/04/2017;0,31;0,35;Muy buena / Oso ona;2;19;60;Buena / Ona;22;68;93;Buena / Ona;23;Muy buena / Oso ona;18;Buena / Ona;3;Muy buena / Oso ona;160;61;1010,1;42,7;16,7;0,84;Buena / Ona
07/04/2017;0,3;0,47;Muy buena / Oso ona;6;23;47;Muy buena / Oso ona;32;51;85;Buena / Ona;29;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;48;76;1013,8;39,2;12,7;0,57;Buena / Ona
06/04/2017;0,2;0,23;Muy buena / Oso ona;2;6;11;Muy buena / Oso ona;10;71;81;Buena / Ona;31;Buena / Ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;337;82;1018,5;31,8;13,1;1,83;Buena / Ona
05/04/2017;0,17;0,19;Muy buena / Oso ona;2;4;7;Muy buena / Oso ona;8;74;79;Buena / Ona;17;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;349;88;1020,1;17,6;12,3;2,22;Buena / Ona
04/04/2017;0,14;0,15;Muy buena / Oso ona;2;7;19;Muy buena / Oso ona;11;70;77;Buena / Ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;327;82;1020,8;27,1;12,9;2,53;Buena / Ona
03/04/2017;0,32;0,56;Muy buena / Oso ona;7;20;50;Muy buena / Oso ona;31;50;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;90;74;1018;34,6;12,1;0,39;Muy buena / Oso ona
02/04/2017;0,29;0,73;Muy buena / Oso ona;2;119;775;Muy mala / Oso txarra;123;;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;329;79;1017,4;25,4;11,3;3,06;Muy mala / Oso txarra
01/04/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;20;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;311;79;1013,4;23,4;12;6,79;Muy buena / Oso ona
31/03/2017;0,25;0,34;Muy buena / Oso ona;3;14;39;Muy buena / Oso ona;18;70;82;Buena / Ona;25;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;51;74;1010,5;24,3;14,7;0,78;Buena / Ona
30/03/2017;;;Sin datos / Daturik gabe;2;19;44;Muy buena / Oso ona;21;72;85;Buena / Ona;18;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;169;45;1011,3;24,4;20,3;2,3;Buena / Ona
29/03/2017;;;Sin datos / Daturik gabe;4;24;58;Buena / Ona;30;60;83;Buena / Ona;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;121;55;1016,2;35,2;17;0,35;Buena / Ona
28/03/2017;0,26;0,29;Muy buena / Oso ona;4;17;49;Muy buena / Oso ona;24;66;85;Buena / Ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;51;62;1017,1;30,9;15,2;0,66;Buena / Ona
27/03/2017;0,22;0,25;Muy buena / Oso ona;3;15;33;Muy buena / Oso ona;20;77;89;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;173;56;1008,4;23,4;15,2;1,79;Buena / Ona
26/03/2017;;;Sin datos / Daturik gabe;3;11;22;Muy buena / Oso ona;16;66;70;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;149;65;1005,4;12,7;12,8;2,15;Buena / Ona
25/03/2017;0,48;0,71;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;290;92;1004,5;3,5;8,1;2,62;Muy buena / Oso ona
24/03/2017;0,32;0,59;Muy buena / Oso ona;6;23;55;Buena / Ona;33;55;84;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;94;61;1008,1;22,2;9,5;1,03;Buena / Ona
23/03/2017;0,19;0,24;Muy buena / Oso ona;4;19;76;Buena / Ona;25;62;82;Buena / Ona;24;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;190;61;1001,9;23;8,4;1,54;Buena / Ona
22/03/2017;0,19;0,31;Muy buena / Oso ona;3;14;44;Muy buena / Oso ona;18;67;79;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;268;84;1003;7;7,8;0,29;Buena / Ona
