Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
05/06/2017;63;75;Buena / Ona;245;67;948,9;0;297,9;14,3;1,06;Buena / Ona
04/06/2017;59;63;Buena / Ona;6;87;952,2;0,1;33,6;10,9;1,29;Buena / Ona
03/06/2017;62;64;Buena / Ona;12;87;951,9;0,1;55,8;13,1;1,5;Buena / Ona
02/06/2017;67;86;Buena / Ona;21;85;950,6;0;195,2;16,6;1,18;Buena / Ona
01/06/2017;66;98;Buena / Ona;333;81;951,4;0;276,8;17,6;0,43;Buena / Ona
31/05/2017;68;93;Buena / Ona;9;79;952,4;0;283,2;16,7;0,77;Buena / Ona
30/05/2017;66;72;Buena / Ona;14;82;951,1;0;151,5;15,3;1,73;Buena / Ona
29/05/2017;74;87;Buena / Ona;358;74;948,4;0;171,9;17;0,57;Buena / Ona
28/05/2017;90;109;Mejorable / Hobetzeko modukoa;99;46;947,5;0;166,5;22,4;1,75;Mejorable / Hobetzeko modukoa
27/05/2017;81;108;Mejorable / Hobetzeko modukoa;146;64;947,2;0;235,7;19,9;2,76;Mejorable / Hobetzeko modukoa
26/05/2017;85;112;Mejorable / Hobetzeko modukoa;358;76;946,8;0;267;17,3;0,73;Mejorable / Hobetzeko modukoa
25/05/2017;83;112;Mejorable / Hobetzeko modukoa;280;66;948,3;0;313;18,9;0,62;Mejorable / Hobetzeko modukoa
24/05/2017;58;100;Buena / Ona;258;80;952,4;0;305,4;15,4;0,16;Buena / Ona
23/05/2017;69;92;Buena / Ona;11;74;954,8;0;306,4;13,5;0,81;Buena / Ona
22/05/2017;72;99;Buena / Ona;12;68;950,3;0;312,7;15,7;0,96;Buena / Ona
21/05/2017;60;86;Buena / Ona;45;64;949,7;0;217,8;16,1;0,38;Buena / Ona
20/05/2017;50;78;Buena / Ona;358;73;955,2;0;296;10,9;0,31;Buena / Ona
19/05/2017;57;75;Buena / Ona;349;67;952,9;0;173,5;10;0,71;Buena / Ona
18/05/2017;64;71;Buena / Ona;359;84;949,9;0,1;89,9;9,8;1,21;Buena / Ona
17/05/2017;50;96;Buena / Ona;1;70;951;0;84,2;16,7;0,53;Buena / Ona
16/05/2017;71;103;Mejorable / Hobetzeko modukoa;3;64;956,7;0;235,9;18,4;0,56;Mejorable / Hobetzeko modukoa
15/05/2017;63;93;Buena / Ona;316;64;958,4;0;255,4;15,1;0,33;Buena / Ona
14/05/2017;72;87;Buena / Ona;239;56;955,1;0;265,2;15,6;2,06;Buena / Ona
13/05/2017;73;86;Buena / Ona;233;60;947,1;0;259,8;14,5;2,91;Buena / Ona
12/05/2017;68;80;Buena / Ona;221;63;937,8;0;161,8;14,4;3,15;Buena / Ona
11/05/2017;77;81;Buena / Ona;232;65;931;0;166;13,8;3,52;Buena / Ona
