Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
21/04/2017;;;;Sin datos / Daturik gabe;26;22;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
20/04/2017;;;;Sin datos / Daturik gabe;21;19;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
19/04/2017;;;;Sin datos / Daturik gabe;16;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
18/04/2017;;;;Sin datos / Daturik gabe;14;15;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
17/04/2017;;;;Sin datos / Daturik gabe;8;17;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
16/04/2017;;;;Sin datos / Daturik gabe;6;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
15/04/2017;;;;Sin datos / Daturik gabe;11;12;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
14/04/2017;;;;Sin datos / Daturik gabe;11;20;Muy buena / Oso ona;14;Muy buena / Oso ona;Muy buena / Oso ona
13/04/2017;;;;Sin datos / Daturik gabe;19;18;Muy buena / Oso ona;12;Muy buena / Oso ona;Muy buena / Oso ona
12/04/2017;;;;Sin datos / Daturik gabe;25;16;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
11/04/2017;;;;Sin datos / Daturik gabe;12;23;Muy buena / Oso ona;16;Muy buena / Oso ona;Muy buena / Oso ona
10/04/2017;;;;Sin datos / Daturik gabe;27;23;Muy buena / Oso ona;15;Muy buena / Oso ona;Muy buena / Oso ona
09/04/2017;;;;Sin datos / Daturik gabe;16;13;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
08/04/2017;;;;Sin datos / Daturik gabe;31;19;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
