Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
18/01/2017;0,26;0,34;Muy buena / Oso ona;11;24;45;Muy buena / Oso ona;42;13;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
17/01/2017;0,26;0,3;Muy buena / Oso ona;12;24;46;Muy buena / Oso ona;42;6;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
16/01/2017;0,21;0,25;Muy buena / Oso ona;16;37;67;Buena / Ona;61;3;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Buena / Ona
15/01/2017;0,2;;Sin datos / Daturik gabe;9;28;48;Muy buena / Oso ona;42;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
14/01/2017;0,26;0,35;Muy buena / Oso ona;5;28;54;Buena / Ona;35;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/01/2017;0,27;0,33;Muy buena / Oso ona;6;26;46;Muy buena / Oso ona;34;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
12/01/2017;0,3;0,49;Muy buena / Oso ona;30;35;54;Buena / Ona;82;12;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
11/01/2017;0,25;0,34;Muy buena / Oso ona;10;31;60;Buena / Ona;46;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
10/01/2017;0,39;0,54;Muy buena / Oso ona;24;51;82;Buena / Ona;88;11;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
09/01/2017;0,4;0,5;Muy buena / Oso ona;40;47;88;Buena / Ona;109;14;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
08/01/2017;0,34;0,66;Muy buena / Oso ona;17;34;56;Buena / Ona;59;13;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
07/01/2017;0,42;0,76;Muy buena / Oso ona;42;53;103;Mejorable / Hobetzeko modukoa;118;20;Muy buena / Oso ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
06/01/2017;0,4;;Sin datos / Daturik gabe;27;41;89;Buena / Ona;82;15;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
05/01/2017;0,4;;Sin datos / Daturik gabe;35;40;75;Buena / Ona;93;24;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
04/01/2017;0,55;1,07;Muy buena / Oso ona;72;50;88;Buena / Ona;160;41;Buena / Ona;26;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
03/01/2017;0,7;1,05;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;49;Buena / Ona;30;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
02/01/2017;0,35;0,46;Muy buena / Oso ona;25;35;57;Buena / Ona;73;16;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
01/01/2017;0,24;;Sin datos / Daturik gabe;6;18;41;Muy buena / Oso ona;27;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
