Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
20/01/2017;0,56;0,76;Muy buena / Oso ona;8;68;54;82;Buena / Ona;157;43;Buena / Ona;25;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
19/01/2017;0,44;0,61;Muy buena / Oso ona;4;49;52;77;Buena / Ona;127;34;Buena / Ona;18;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
18/01/2017;0,86;2,15;Muy buena / Oso ona;4;18;38;69;Buena / Ona;64;25;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
17/01/2017;0,18;0,24;Muy buena / Oso ona;2;8;21;63;Buena / Ona;32;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
16/01/2017;0,14;0,14;Muy buena / Oso ona;2;4;16;37;Muy buena / Oso ona;21;9;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
15/01/2017;0,15;0,18;Muy buena / Oso ona;2;2;10;16;Muy buena / Oso ona;12;10;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
14/01/2017;0,18;0,2;Muy buena / Oso ona;2;3;20;58;Buena / Ona;24;9;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
13/01/2017;0,15;0,17;Muy buena / Oso ona;3;4;19;29;Muy buena / Oso ona;24;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
12/01/2017;0,2;;Sin datos / Daturik gabe;;17;29;47;Muy buena / Oso ona;53;18;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
11/01/2017;0,15;0,17;Muy buena / Oso ona;4;6;21;36;Muy buena / Oso ona;30;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
10/01/2017;0,26;0,71;Muy buena / Oso ona;4;9;27;52;Buena / Ona;40;19;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
09/01/2017;0,78;1,21;Muy buena / Oso ona;4;65;58;76;Buena / Ona;157;29;Buena / Ona;17;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
08/01/2017;0,73;1,32;Muy buena / Oso ona;3;26;48;70;Buena / Ona;87;27;Buena / Ona;18;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
07/01/2017;0,63;1,01;Muy buena / Oso ona;2;44;53;82;Buena / Ona;119;29;Buena / Ona;19;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
06/01/2017;0,51;0,89;Muy buena / Oso ona;2;27;40;68;Buena / Ona;81;22;Muy buena / Oso ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
05/01/2017;0,69;1,1;Muy buena / Oso ona;2;58;52;90;Buena / Ona;140;29;Buena / Ona;20;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
04/01/2017;0,7;1;Muy buena / Oso ona;3;88;48;84;Buena / Ona;183;42;Buena / Ona;27;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
03/01/2017;0,54;0,7;Muy buena / Oso ona;2;70;50;73;Buena / Ona;156;39;Buena / Ona;23;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
02/01/2017;0,55;0,87;Muy buena / Oso ona;2;16;34;69;Buena / Ona;59;12;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
01/01/2017;0,29;0,31;Muy buena / Oso ona;1;8;28;49;Muy buena / Oso ona;38;20;Muy buena / Oso ona;18;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
