Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;Tolueno (µg/m3);Ortoxileno (µg/m3);ICA Estación
12/01/2017;;0,25;0,35;Muy buena / Oso ona;;15;31;58;Buena / Ona;54;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Buena / Ona
11/01/2017;;0,16;0,23;Muy buena / Oso ona;;2;22;45;Muy buena / Oso ona;26;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;;Muy buena / Oso ona
10/01/2017;;0,32;0,57;Muy buena / Oso ona;;17;47;82;Buena / Ona;73;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Buena / Ona
09/01/2017;;0,41;0,55;Muy buena / Oso ona;;49;55;106;Mejorable / Hobetzeko modukoa;130;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;Mejorable / Hobetzeko modukoa
08/01/2017;;0,4;0,65;Muy buena / Oso ona;;36;45;78;Buena / Ona;99;20;Muy buena / Oso ona;7;Muy buena / Oso ona;;;Buena / Ona
07/01/2017;;0,5;0,59;Muy buena / Oso ona;;55;56;92;Buena / Ona;140;23;Muy buena / Oso ona;13;Muy buena / Oso ona;;;Buena / Ona
06/01/2017;;0,39;0,5;Muy buena / Oso ona;;34;47;78;Buena / Ona;99;18;Muy buena / Oso ona;8;Muy buena / Oso ona;;;Buena / Ona
05/01/2017;;0,59;1,17;Muy buena / Oso ona;;54;49;77;Buena / Ona;131;31;Buena / Ona;14;Muy buena / Oso ona;;;Buena / Ona
04/01/2017;;0,74;0,89;Muy buena / Oso ona;;114;62;106;Mejorable / Hobetzeko modukoa;237;42;Buena / Ona;23;Buena / Ona;;;Mejorable / Hobetzeko modukoa
03/01/2017;;0,66;0,86;Muy buena / Oso ona;;119;58;89;Buena / Ona;240;41;Buena / Ona;22;Buena / Ona;;;Buena / Ona
02/01/2017;;0,26;0,34;Muy buena / Oso ona;;11;28;50;Muy buena / Oso ona;45;15;Muy buena / Oso ona;8;Muy buena / Oso ona;;;Muy buena / Oso ona
01/01/2017;;0,2;0,25;Muy buena / Oso ona;;2;14;30;Muy buena / Oso ona;17;17;Muy buena / Oso ona;9;Muy buena / Oso ona;;;Muy buena / Oso ona
