Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;CH4 (mg/m3);HCNM (mg/m3 HEX);D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
12/01/2017;6;12;48;Muy buena / Oso ona;22;43;58;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;;277;99;974,5;10,3;2,52;Muy buena / Oso ona
11/01/2017;4;13;20;Muy buena / Oso ona;19;54;65;Buena / Ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;;;306;100;977,5;10,8;4,12;Buena / Ona
10/01/2017;4;16;22;Muy buena / Oso ona;22;61;64;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;309;97;974;8,6;4,99;Buena / Ona
09/01/2017;8;26;67;Buena / Ona;38;44;59;Muy buena / Oso ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;;;276;77;981,2;8,4;0,6;Buena / Ona
08/01/2017;3;15;48;Muy buena / Oso ona;20;62;78;Buena / Ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;;;256;55;984,6;6,3;0,39;Buena / Ona
07/01/2017;4;15;33;Muy buena / Oso ona;21;57;66;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;;;285;63;984,5;4,5;0,86;Buena / Ona
06/01/2017;4;13;28;Muy buena / Oso ona;18;57;65;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;;261;79;983,9;3,8;0,12;Buena / Ona
05/01/2017;4;20;44;Muy buena / Oso ona;26;48;64;Buena / Ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;;;110;77;982,2;4,6;0,97;Buena / Ona
04/01/2017;9;30;52;Buena / Ona;44;21;27;Muy buena / Oso ona;21;Muy buena / Oso ona;18;Muy buena / Oso ona;1,43;0,11;309;91;980,1;5,8;0,81;Buena / Ona
03/01/2017;10;32;53;Buena / Ona;47;22;31;Muy buena / Oso ona;20;Muy buena / Oso ona;8;Muy buena / Oso ona;1,46;0,12;356;81;977,4;6,3;0,29;Buena / Ona
02/01/2017;3;17;43;Muy buena / Oso ona;22;44;56;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1,45;0,07;236;68;973,1;6,9;1,06;Muy buena / Oso ona
01/01/2017;4;12;17;Muy buena / Oso ona;17;35;42;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;1,5;0,06;264;75;976;4,1;1,14;Muy buena / Oso ona
