Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
10/02/2017;1;7;19;Muy buena / Oso ona;9;63;70;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;158;54;1001;0;109,4;8;10,2;1,32;Buena / Ona
09/02/2017;1;7;9;Muy buena / Oso ona;9;61;73;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;152;80;1007,8;0,2;208,9;11,2;7,8;1,25;Buena / Ona
08/02/2017;1;3;7;Muy buena / Oso ona;5;80;92;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;291;77;1017,4;10,4;61,4;6,3;8,3;2,73;Buena / Ona
07/02/2017;1;3;9;Muy buena / Oso ona;4;72;90;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;277;86;1012,5;15;26,2;3,5;10,5;2,87;Buena / Ona
06/02/2017;1;6;19;Muy buena / Oso ona;8;62;89;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;202;87;1012,9;11,3;31,4;5,3;10,5;1,47;Buena / Ona
05/02/2017;1;1;3;Muy buena / Oso ona;2;88;91;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;269;69;1003;13;66;5,1;10;5,47;Buena / Ona
04/02/2017;1;3;6;Muy buena / Oso ona;5;75;89;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;210;83;996,3;25,7;18,3;3,8;11,5;1,96;Buena / Ona
03/02/2017;1;3;5;Muy buena / Oso ona;4;85;86;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;191;47;995,5;0;122,6;7,5;14,5;3,92;Buena / Ona
02/02/2017;1;3;5;Muy buena / Oso ona;5;79;87;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;182;54;995,4;2,2;28,5;5,9;14,5;5,48;Buena / Ona
01/02/2017;1;5;8;Muy buena / Oso ona;7;65;70;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;176;51;1001,5;0,8;161,7;10,5;16,2;3,92;Buena / Ona
31/01/2017;1;5;10;Muy buena / Oso ona;7;60;63;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;172;51;1002,5;0;214,6;13,1;16,4;4,13;Buena / Ona
30/01/2017;1;7;15;Muy buena / Oso ona;10;49;58;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;166;66;1006,4;0;50,1;8,7;15,3;3,26;Muy buena / Oso ona
29/01/2017;1;3;5;Muy buena / Oso ona;5;66;75;Buena / Ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;171;61;1009;0;140,2;10,8;13,3;4,55;Buena / Ona
28/01/2017;1;4;9;Muy buena / Oso ona;6;75;85;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;217;70;1009,6;0;163,3;8,6;9,7;1,36;Buena / Ona
27/01/2017;1;6;9;Muy buena / Oso ona;8;73;74;Buena / Ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;176;60;997,1;1,6;60;4,5;11,1;4,13;Buena / Ona
26/01/2017;1;8;11;Muy buena / Oso ona;10;67;75;Buena / Ona;15;Muy buena / Oso ona;10;Muy buena / Oso ona;170;60;1000,4;0;134,2;8,4;8,3;4,68;Buena / Ona
25/01/2017;1;8;22;Muy buena / Oso ona;11;61;79;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;145;74;1012,4;0;200,9;9,5;4,9;0,55;Buena / Ona
24/01/2017;1;8;17;Muy buena / Oso ona;10;68;82;Buena / Ona;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;257;78;1016,4;0;161,6;7,1;6,6;0,42;Buena / Ona
23/01/2017;1;6;9;Muy buena / Oso ona;8;72;82;Buena / Ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona;265;80;1013,2;0;58,5;5;8,4;1,19;Buena / Ona
22/01/2017;1;9;22;Muy buena / Oso ona;12;57;85;Buena / Ona;21;Muy buena / Oso ona;10;Muy buena / Oso ona;260;85;1011,3;0;91;5,4;7,6;1,29;Buena / Ona
21/01/2017;1;9;15;Muy buena / Oso ona;12;49;62;Buena / Ona;21;Muy buena / Oso ona;10;Muy buena / Oso ona;197;80;1011,1;0;173,8;6,5;5,4;0,63;Buena / Ona
20/01/2017;2;10;19;Muy buena / Oso ona;14;43;57;Muy buena / Oso ona;26;Buena / Ona;13;Muy buena / Oso ona;182;84;1013,6;0;165,5;5,6;;0,44;Buena / Ona
19/01/2017;1;9;20;Muy buena / Oso ona;11;43;53;Muy buena / Oso ona;30;Buena / Ona;10;Muy buena / Oso ona;158;78;1015,4;0;19,9;2,5;2,8;1,28;Buena / Ona
18/01/2017;1;6;10;Muy buena / Oso ona;8;53;73;Buena / Ona;20;Muy buena / Oso ona;6;Muy buena / Oso ona;358;71;1016,2;0;5,4;1,1;2,4;1,07;Buena / Ona
17/01/2017;1;3;6;Muy buena / Oso ona;4;71;74;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;18;60;1017,4;1,6;151,4;6;5,8;3,51;Buena / Ona
16/01/2017;1;2;3;Muy buena / Oso ona;3;77;88;Buena / Ona;20;Muy buena / Oso ona;2;Muy buena / Oso ona;304;91;1015,8;29,7;18,1;3;10,6;3,24;Buena / Ona
15/01/2017;1;1;2;Muy buena / Oso ona;2;84;88;Buena / Ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;300;80;1018,9;9,1;12,7;2,1;9,7;3,44;Buena / Ona
14/01/2017;1;1;6;Muy buena / Oso ona;3;78;82;Buena / Ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;294;76;1017,8;3;60,1;3,5;7,7;1,7;Buena / Ona
13/01/2017;1;1;3;Muy buena / Oso ona;3;83;87;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;294;71;1013,4;8,7;58,5;4,3;8,4;4,13;Buena / Ona
12/01/2017;2;7;18;Muy buena / Oso ona;10;48;71;Buena / Ona;17;Muy buena / Oso ona;4;Muy buena / Oso ona;253;89;1010,8;10,5;47,2;5;11,3;1,74;Buena / Ona
11/01/2017;1;2;5;Muy buena / Oso ona;3;70;82;Buena / Ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;290;96;1014;32,7;11,6;2,8;12,1;3,98;Buena / Ona
10/01/2017;0;5;11;Muy buena / Oso ona;5;74;82;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;289;90;1010,3;33,9;6;1,4;10,1;3,28;Buena / Ona
09/01/2017;0;7;16;Muy buena / Oso ona;8;53;65;Buena / Ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;163;79;1018,7;0,2;99,3;6,8;8,3;0,66;Buena / Ona
08/01/2017;0;7;11;Muy buena / Oso ona;8;56;66;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;186;75;1022,8;0;79,4;5,2;5,7;0,89;Buena / Ona
07/01/2017;0;6;10;Muy buena / Oso ona;7;54;64;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;195;80;1022,9;0;160,2;6,1;3,7;0,75;Buena / Ona
06/01/2017;0;6;9;Muy buena / Oso ona;7;56;65;Buena / Ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;163;80;1022,3;0;131,9;5,9;4;0,93;Buena / Ona
05/01/2017;0;8;14;Muy buena / Oso ona;9;49;70;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;165;79;1020,4;0;71,1;4,9;5,1;1,15;Buena / Ona
04/01/2017;1;12;23;Muy buena / Oso ona;13;36;46;Muy buena / Oso ona;22;Muy buena / Oso ona;11;Muy buena / Oso ona;190;90;1017,9;0;150,3;6,9;5,2;0,71;Muy buena / Oso ona
03/01/2017;1;12;17;Muy buena / Oso ona;14;33;45;Muy buena / Oso ona;33;Buena / Ona;17;Buena / Ona;65;88;1015,1;0;113,9;5,3;6,6;0,19;Buena / Ona
02/01/2017;0;10;16;Muy buena / Oso ona;10;42;48;Muy buena / Oso ona;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;169;66;1009,8;0;84,5;5,2;7,2;2,92;Muy buena / Oso ona
01/01/2017;0;10;15;Muy buena / Oso ona;11;35;39;Muy buena / Oso ona;16;Muy buena / Oso ona;10;Muy buena / Oso ona;152;74;1013;0;143;6,2;5,2;2,33;Muy buena / Oso ona
