COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;NOMBRE_COMIENZA;NOMBRE_ACENTOS_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;NOMBRE_TERMINA;NOMBRE_ACENTOS_TERMINA
00724400;RONDA;DE;SOBRADIEL;SOBRADIEL;00148000;AVENIDA;DE;CARONDELET;CARONDELET;00453100;AVENIDA;DE LOS;MADROÑOS;MADROÑOS
00002815;CALLE;DE;SOBRADO;SOBRADO;00002794;CALLE;DE;PORTOMARIN;PORTOMARÍN;00002813;CALLE;DE;VILAR DE DONAS;VILAR DE DONAS
00724500;CALLE;DE LA;SOCIEDAD;SOCIEDAD;00241170;CALLE;DEL;DOCTOR ESPINA;DOCTOR ESPINA;00433500;CALLE;DEL;CAMINO VIEJO DE LEGANES;CAMINO VIEJO DE LEGANÉS
00724600;CALLE;DEL;SOCORRO;SOCORRO;00631850;AVENIDA;;REAL;REAL;00221500;CALLE;DE LA;CRUZ DE LA MISA;CRUZ DE LA MISA
00724700;CALLE;DE;SOCUELLAMOS;SOCUÉLLAMOS;00745500;CALLE;DE;TOMELLOSO;TOMELLOSO;00059400;CALLE;DE;ANTONIO LOPEZ;ANTONIO LÓPEZ
31000444;CALLE;DEL;SODIO;SODIO;00262000;CALLE;DE;EMBAJADORES;EMBAJADORES;00220200;CALLE;DEL;CROMO;CROMO
00724800;CALLE;DE;SODUPE;SODUPE;00524700;CALLE;DE;MOTRICO;MOTRICO;00431500;CALLE;DE;LASARTE;LASARTE
00002443;CALLE;DE;SOFIA;SOFÍA;00778910;AVENIDA;DE;CANILLEJAS A VICALVARO;CANILLEJAS A VICÁLVARO;00002437;CALLE;DE;ESTOCOLMO;ESTOCOLMO
31000665;CALLE;DE;SOFIA CASANOVA;SOFÍA CASANOVA;00525800;CALLE;DE;MUNTADAS;MUNTADAS;00333700;CALLE;DE;JOAQUIN TURINA;JOAQUÍN TURINA
00725000;CALLE;DE LA;SOFORA;SÓFORA;00548500;CALLE;DE;OÑATE;OÑATE;00759000;CALLE;DE;ULPIANA BENITO;ULPIANA BENITO
00725100;PLAZA;DE;SOGAMOSO;SOGAMOSO;00224700;CALLE;DE;CUCUTA;CÚCUTA;00320600;CALLE;DE;GALAPA;GALAPA
00725200;CALLE;DEL;SOL;SOL;00798900;CALLE;DEL;VIZCONDE DE MATAMALA;VIZCONDE DE MATAMALA;99000001;LUGAR;;FONDO DE SACO;FONDO DE SACO
00725300;CALLE;DEL;SOL NACIENTE;SOL NACIENTE;00245250;CALLE;DEL;DOCTOR VALLEJO;DOCTOR VALLEJO;00600900;CALLE;DE;POLIBEA;POLIBEA
00725600;CALLE;DE LA;SOLANA DE LUCHE;SOLANA DE LUCHE;00321500;CALLE;DE;GALIANA;GALIANA;00473900;CALLE;DE;MARIA DEL CARMEN;MARÍA DEL CARMEN
00725650;CALLE;DE LA;SOLANA DE OPAÑEL;SOLANA DE OPAÑEL;00024200;CALLE;DE;ALEJANDRO SANCHEZ;ALEJANDRO SÁNCHEZ;00075700;CALLE;DEL;ARROYO OPAÑEL;ARROYO OPAÑEL
00725675;CALLE;DEL;SOLANO;SOLANO;00001104;ARROYO;DE LA;TIA MARTINA;TÍA MARTINA;99000001;LUGAR;;FONDO DE SACO;FONDO DE SACO
31000416;CALLE;DEL;SOLARA;SOLARA;31000007;CALLE;DEL;SIMCA;SIMCA;31000415;CALLE;DEL;TIBURON;TIBURÓN
00726000;CALLE;DEL;SOLDADO;SOLDADO;00645300;PLAZA;DE;ROGELIO ENRIQUEZ;ROGELIO ENRÍQUEZ;00348500;AVENIDA;DE LA;GUARDIA;GUARDIA
00726100;CALLE;DEL;SOLDADO JOSE MARIA REY;SOLDADO JOSÉ MARÍA REY;00802300;CALLE;DE LA;ZAIDA;ZAIDA;00270700;CALLE;DE;ERVIGIO;ERVIGIO
