"dc:identifier";"dc:modified";"id";"lpgc:NOMBRE_VIA";"lpgc:PARTICULA";"lpgc:TIPO_VIA";"lpgc:TRAMO_VIA"
"3004";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3004";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3004"
"2999";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2999";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"2999"
"5565";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5565";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"5565"
"5564";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5564";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"5564"
"5563";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5563";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"5563"
"5562";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5562";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"5562"
"6417";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6417";"PERDIDA";" ";"PLAZA";"6417"
"3015";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3015";"SALAMANCA";" ";"CALLE";"3015"
"3014";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3014";"SALAMANCA";" ";"CALLE";"3014"
"3012";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3012";"SALAMANCA";" ";"CALLE";"3012"
"3032";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3032";"GRANADA";" ";"CALLE";"3032"
